Year,Month,GEPU_current,GEPU_ppp
2020,8,301.5334858,313.015055
2020,9,289.8992423,298.731456
2020,10,307.6236239,310.3191587
2020,11,368.2544443,378.6181306
2020,12,295.501896,301.1867785
2021,1,280.3907548,287.8104609
2021,2,215.3512691,220.4945178
2021,3,215.2209566,220.7977895
2021,4,199.3093946,207.6638045
2021,5,190.2541919,195.8016401
2021,6,178.8095214,187.0674344
2021,7,205.5484946,205.868338
2021,8,216.3593117,222.6191204
2021,9,205.347797,208.3636384
2021,10,195.1406249,200.3662801
2021,11,227.9066988,228.6538028
2021,12,265.9483116,270.1810921
2022,1,231.8294847,240.109843
2022,2,191.770269,201.7816922
2022,3,329.9236085,337.7168805
2022,4,302.8412989,322.2926186
2022,5,291.1975317,302.4255936
2022,6,275.2888915,291.6343067
2022,7,317.1613879,327.5683607
2022,8,256.9986533,262.1786715
2022,9,281.8649236,288.1473286
2022,10,301.1323903,306.4590298
2022,11,332.2050885,345.064033
2022,12,263.2473617,277.9851284
2023,1,247.0970717,261.8662742
2023,2,243.2303724,260.0781413
2023,3,310.5803119,328.1564597
2023,4,231.6301102,249.5754582
2023,5,228.4435994,230.8228837
2023,6,229.7453659,243.6425064
2023,7,226.3346297,241.6331181
2023,8,210.9167006,228.6278852
2023,9,243.9402132,262.130089
2023,10,225.8919682,239.9313701
2023,11,246.5266578,264.8008325
2023,12,255.5543455,284.8750771
2024,1,229.4733651,244.5006959
2024,2,197.1296855,215.3636451
2024,3,176.8915602,183.0329264
2024,4,185.5715942,192.6350925
2024,5,202.9193833,210.7421167
2024,6,214.7250893,224.5300511
2024,7,232.2156788,243.477009
2024,8,225.3783254,240.6598537
2024,9,223.0071045,233.1894783
2024,10,223.640869,234.0872106
2024,11,365.2060088,380.9681236
2024,12,377.0736751,394.381679
2025,1,429.830565,460.1813013
