Date,Close,SMA_20,EMA_20,MACD,MACD_Signal,MACD_Hist,RSI,ROC,BB_Width,ATR,OBV
2010-03-10,35.32612228393555,34.151472663879396,34.4906919039588,0.16469113987547956,-0.08296988430461691,0.24766102418009647,60.92933184092777,3.8461232237415857,7.836038273852852,0.548296349502837,-45945700
2010-03-11,35.4608039855957,34.26595497131348,34.58308353078136,0.21640001528327701,-0.023095904387038117,0.23949591967031514,62.27635773000793,5.737232682068068,8.021264210755934,0.5338703694292463,-32930400
2010-03-12,35.69810485839844,34.376910018920896,34.68927603817346,0.2733765540709925,0.036198587304568,0.2371779667664245,64.59265297644808,5.777255713674364,8.482424834892393,0.5168098703672503,-21187100
2010-03-15,35.44797897338867,34.48978900909424,34.76153346057491,0.29494782805978303,0.08794843545561101,0.20699939260417202,60.38397241337552,5.6787482507660805,8.247107427648238,0.5170019113749355,-31369400
2010-03-16,35.89692687988281,34.58823738098145,34.869666167175666,0.344300678249283,0.1392188840143454,0.2050817942349376,64.81534380224657,6.366386366169342,8.801233583116296,0.5148894854243758,-15651100
2010-03-17,36.089351654052734,34.694062042236325,34.98582668973539,0.3943939112004884,0.190253889451574,0.20414002174891438,66.54279807323678,6.109781583776429,9.378739846349834,0.5028509441172224,1749400
2010-03-18,35.8776969909668,34.77968406677246,35.070766718424096,0.41226209595938457,0.2346555307531361,0.17760656520624846,62.885540206141904,4.697733081601938,9.694055632995498,0.4985431861985205,-14150200
2010-03-19,35.512123107910156,34.85760936737061,35.112800660279916,0.3924006535071669,0.26620455530394227,0.12619609820322464,57.052911387410255,2.4043087451479375,9.580952695192122,0.5009562802738092,-31969900
2010-03-22,35.61473083496094,34.93745803833008,35.160603534059064,0.38055312378931916,0.2890742690010177,0.09147885478830148,58.2241055246439,2.966809312970667,9.469630222177388,0.5109851313122012,-14496100
2010-03-23,35.864864349365234,35.05386505126953,35.22767599265965,0.3868877540906084,0.30863696601893587,0.07825078807167252,61.01515463617878,1.7097014740495682,8.952117581395504,0.5047217413036943,1036900
2010-03-24,35.274818420410156,35.1301872253418,35.23216574768351,0.3403726153605575,0.3149840958872602,0.025388519473297344,52.16206060553205,0.03638146075189001,8.264746153678413,0.5218111516275071,-17197100
2010-03-25,35.25557327270508,35.21580848693848,35.23439503578081,0.2985150149390492,0.311690279697618,-0.013175264758568783,51.89756136733722,0.21880620816258411,7.133179854688384,0.5193555484569098,-35830100
2010-03-26,35.601905822753906,35.30848503112793,35.26939606311158,0.28994638595243316,0.30734150094858104,-0.017395114996147876,56.201676848044535,0.7806787753315657,6.05406228881395,0.5166172992652437,-12363900
2010-03-29,35.903350830078125,35.40308589935303,35.32977270758458,0.30397573549644363,0.30666834785815356,-0.002692612361709923,59.590866176334984,1.2479887502330345,5.180022984607043,0.503996599870449,1241800
2010-03-30,35.903350830078125,35.48485927581787,35.38439919544111,0.31150328017626094,0.30763533432177503,0.0038679458544859102,59.590866176334984,0.5749492094715519,4.388845610319186,0.49502560637868387,18009800
2010-03-31,35.903350830078125,35.54610939025879,35.433823160644636,0.31385103421115446,0.30887847429965093,0.004972559911503527,59.590866176334984,1.2846200823784837,3.9637191424764517,0.4844048604901047,40712400
2010-04-01,36.53829574584961,35.643596458435056,35.53901102590225,0.36276466915232675,0.3196557132701861,0.04310895588214064,66.42569160875836,1.7866957472792186,3.8540297523203275,0.4960739715191462,61206300
2010-04-05,36.5767707824707,35.709335517883304,35.63784528843258,0.40002248099735027,0.335729066815619,0.06429341418173129,66.79222649705991,1.3505898722988916,4.336623996782253,0.48125530028664537,75640300
2010-04-06,36.47415542602539,35.76994380950928,35.71749387296523,0.416468573170917,0.35187696808667857,0.06459160508423845,64.76153759849595,1.6624769287972099,4.54856377463815,0.4766571000944339,60614600
2010-04-07,36.217620849609375,35.821894836425784,35.765125013598,0.4041433108216381,0.3623302366336705,0.04181307418796765,59.8616680032188,1.9866391529321785,4.400264266910029,0.4705546010467995,41040100
2010-04-08,36.17913818359375,35.86454563140869,35.80455483931188,0.386811302166997,0.3672264497403358,0.019584852426661192,59.138824989173564,1.58475814754373,4.284282002075565,0.47038591077846725,27187100
2010-04-09,36.65373611450195,35.924192237854,35.88542924647284,0.4066836511035632,0.3751178900129813,0.0315657610905819,64.78627633702956,2.1995671235563474,4.550103610520303,0.47389355635288644,44318300
2010-04-12,36.7691764831543,35.977745819091794,35.96959564996631,0.42682750203064757,0.38545981241651456,0.04136768961413301,66.01661543426286,4.236330985277301,4.938043791861267,0.45607761758391885,56310500
2010-04-13,36.73710632324219,36.042202186584475,36.04269190456401,0.4351872869858795,0.39540530733038753,0.03978197965549196,65.33368241003382,4.202266232000586,5.060450162770647,0.45052939938641895,47216500
2010-04-14,37.22455978393555,36.10858383178711,36.15525075021844,0.47566275312308903,0.41145679648892786,0.06420595663416118,70.35376756816403,4.557772747504347,5.7811299120583834,0.4549993326420883,67980300
2010-04-15,37.19890213012695,36.16406135559082,36.25464611973354,0.49990687810485923,0.4291468128121142,0.07076006529274503,69.78095995842166,3.608441190295466,6.34129427481528,0.44311457038325325,54446100
2010-04-16,36.37795639038086,36.18907432556152,36.26638995503329,0.44771606940022934,0.4328606641297373,0.014855405270492061,54.4931430474361,1.3218976762055654,6.313363220136614,0.4833878732714257,24105000
2010-04-19,36.28175354003906,36.22755584716797,36.26785315360527,0.3940493557793019,0.42509840245965025,-0.031049046680348358,53.02704134142614,1.0539481725586728,6.070617209432271,0.48688360152909,4448000
2010-04-20,36.506221771240234,36.27213039398193,36.29055492671336,0.3654184919751984,0.4131624203627599,-0.04774392838756153,56.0015243969592,-0.08778180250242867,5.89142144756662,0.4754696452019301,18487800
2010-04-21,36.2689323425293,36.29233379364014,36.28849563298155,0.31989351898963037,0.394508640088134,-0.07461512109850366,52.23586881331248,-0.8416227932536265,5.797694200987408,0.47174213791870423,2890400
2010-04-22,35.94183349609375,36.325684547424316,36.255480191373195,0.2544869396529279,0.3665043000010928,-0.1120173603481649,47.49484112877642,-1.4594496396531038,5.280588119834339,0.49439477572079393,-19237800
2010-04-23,36.211204528808594,36.373466110229494,36.251263461605134,0.2218306201082214,0.33756956402251853,-0.11573894391429712,51.406311929030736,-0.017716019579045467,4.548648164136326,0.49847874093525946,-987700
2010-04-26,36.24967956542969,36.40585479736328,36.251112614350326,0.19678643398333406,0.30941293801468167,-0.11262650403134761,51.956843818013375,0.19497806022346348,4.126258055109526,0.4789070520196561,18682800
2010-04-27,34.79378890991211,36.35037670135498,36.1123198805943,0.05878291468199848,0.259286933348145,-0.20050401866614653,35.54608161928827,-5.074372770021554,5.559718945881663,0.5546471312979008,-21016300
2010-04-28,34.80021286010742,36.295219802856444,35.9873573072146,-0.04949693962321078,0.19753015875387386,-0.24702709837708464,35.64267382274622,-5.354929893382166,6.634342513847721,0.5658802224539451,11879000
2010-04-29,35.33894729614258,36.26699962615967,35.92560397282679,-0.09079154921425214,0.13986581716024865,-0.2306573663745008,43.31486145935589,-3.805849635508844,6.972383627058611,0.569896774424538,33284900
2010-04-30,34.89641571044922,36.18490562438965,35.82758604307655,-0.15741187924299993,0.08041027787959894,-0.23782215712259885,39.182764377226455,-6.254322648809539,7.6836969331756055,0.5708782767276273,8467800
2010-05-03,35.14654541015625,36.11339435577393,35.76272503041748,-0.18786006057957394,0.026756210187764362,-0.2146162707673383,42.520502221670405,-5.517250785497036,8.01983123020661,0.556671982947999,30514100
2010-05-04,33.75478744506836,35.97742595672607,35.57149287943185,-0.3205980453308541,-0.042714640915959334,-0.2778834044148948,31.99777222900734,-7.210874951749966,9.802952642730396,0.6263995548540289,-12418400
2010-05-05,33.107025146484375,35.821896171569826,35.33678166677019,-0.47261484870872295,-0.12869468247451207,-0.34392016623421084,28.46672025444809,-8.750206601925088,12.03846352281222,0.6407526179667745,-53209700
2010-05-06,31.63188934326172,35.59453372955322,34.983934778817,-0.7040050596041993,-0.24375675790044954,-0.4602483017037498,22.40352291801709,-13.352059433930622,15.82094567092307,0.7947230654626152,-117736100
2010-05-07,31.561338424682617,35.339913845062256,34.65797322128039,-0.8828988301969432,-0.3715851723597483,-0.5113136578371948,22.160415882035963,-12.979687059402382,18.51020052427216,0.8300382406371273,-183915300
2010-05-10,33.60726547241211,35.181818294525144,34.557905816626274,-0.8497883864812508,-0.4672258151840488,-0.38256257129720195,41.86241700852721,-6.495406039692904,18.67305419027431,0.9375024444983684,-120613600
2010-05-11,33.0621223449707,34.99806909561157,34.41545024789717,-0.8576501585627909,-0.5453106838597973,-0.3123394747029936,39.02783288572078,-8.696430358544333,19.012908745804722,0.9273432161923798,-162957200
2010-05-12,33.434112548828125,34.808546733856204,34.3219895146525,-0.8243614434065663,-0.6011208357691511,-0.22324060763741516,41.917932189170955,-7.767150083408435,18.550294504058662,0.9018765812940502,-135171600
2010-05-13,32.997982025146484,34.59850072860718,34.19589356327097,-0.8236771477413143,-0.6456320981635837,-0.1780450495777306,39.550884552918205,-5.161285795620932,18.05905963965295,0.8745645421175207,-164847000
2010-05-14,32.06160354614258,34.38268308639526,33.99262784735398,-0.8884512432205156,-0.69419592717497,-0.19425531604554558,34.98329116000208,-7.869518858903871,18.60261678569683,0.8991369738424213,-205213200
2010-05-17,32.10649871826172,34.1739203453064,33.81299650172615,-0.9254939966807996,-0.740455541076136,-0.1850384556046636,35.36868708120818,-9.14698604571534,18.844450473008145,0.9036300818923034,-172082200
2010-05-18,31.413822174072266,33.919300365447995,33.58450370861625,-0.9992254053764142,-0.7922095139361917,-0.2070158914402226,32.197513661855226,-9.979802983989963,19.146718436912856,0.9261268870185431,-211234700
2010-05-19,31.535676956176758,33.68263759613037,33.389377351241066,-1.0358843850654935,-0.8409444881620521,-0.19493989690344138,33.329987991642156,-10.273750696806932,19.105028597380773,0.9053283676631343,-169793100
2010-05-20,30.43897247314453,33.40749454498291,33.10838641046997,-1.1402872551485004,-0.9008130415593418,-0.23947421358915855,28.686060950039916,-9.823243524551582,19.97544639140354,0.9414456125766194,-219806200
2010-05-21,31.18293571472168,33.15608110427856,32.92501015373204,-1.1497421539749197,-0.9505988640424574,-0.19914328993246233,35.274357562503056,-5.811725527284392,19.35719401207392,0.9552857812587169,-167621600
